metric,value
video_name,high_blur_640_10s_vsrnet_restored.mp4
model,VSRNet
vibration_level,high
psnr,19.3888459769899
ssim,0.6988866481440009
jitter,1.5699211359024048
iou_continuity,0.9200869798660278
confidence_mean,0.27993112802505493
confidence_variance,0.03254939988255501
detection_count,106
detected_frame_count,84
restoration_total_time_sec,275.2298807
fps,24.986
inference_time_ms,1100.9195228
note,Stage 2 metrics are computed when source files are available. Missing values are left as None.
degraded_frame_count,250
degraded_fps,24.986
degraded_duration_sec,10.005603137757143
restored_frame_count,250
restored_fps,24.986
restored_duration_sec,10.005603137757143
gt_frame_count,250
gt_fps,24.986
gt_duration_sec,10.005603137757143
warnings,
